adjective	m_percent
affected	20
affectionate	10
anxious	23
attractive	14
charming	19
complaining	21
curious	24
dependent	19
dreamy	17
emotional	12
fearful	17
feminine	8
fussy	24
meek	25
mild	22
sensitive	14
sexy	14
shy	25
soft-hearted	19
submissive	16
superstitious	13
talkative	22
timid	25
weak	17
whiny	23
